Name String,Filename,Description,CLSID Description,CLSID,Product Name,File Description,File Version,Company Name,File Modified Time,File Created Time,Standalone
ActiveX Control,C:\WINDOWS\system32\mmcndmgr.dll,,OCX,{C96401CF-0E17-11D3-885B-00C04F72C717},Microsoft® Windows® Operating System,MMC Node Manager DLL,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:45 AM,2019-03-19 4:45:45 AM,Yes
Administrative Templates (Computers),C:\WINDOWS\System32\AdmTmpl.dll,,Administrative Templates - Starter GPO (Computer),{84DE202D-5D95-4764-9014-A46F994CE856},Microsoft® Windows® Operating System,Administrative Templates Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:16 AM,2019-03-19 4:57:50 AM,No
Administrative Templates (Computers),C:\WINDOWS\System32\AdmTmpl.dll,,Administrative Templates (Computers),{D02B1F72-3407-48ae-BA88-E8213C6761F1},Microsoft® Windows® Operating System,Administrative Templates Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:16 AM,2019-03-19 4:57:50 AM,No
Administrative Templates (Computers),C:\WINDOWS\System32\scrptadm.dll,,Administrative Templates (Computers),{B6F9C8AE-EF3A-41C8-A911-37370C331DD4},Microsoft® Windows® Operating System,Script Adm Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:13 AM,2019-03-19 4:57:49 AM,No
Administrative Templates (Users),C:\WINDOWS\System32\scrptadm.dll,,Administrative Templates (Users),{B6F9C8AF-EF3A-41C8-A911-37370C331DD4},Microsoft® Windows® Operating System,Script Adm Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:13 AM,2019-03-19 4:57:49 AM,No
Administrative Templates (Users),C:\WINDOWS\System32\AdmTmpl.dll,,Administrative Templates - Starter GPO (User),{84DE202E-5D95-4764-9014-A46F994CE856},Microsoft® Windows® Operating System,Administrative Templates Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:16 AM,2019-03-19 4:57:50 AM,No
Administrative Templates (Users),C:\WINDOWS\System32\AdmTmpl.dll,,Administrative Templates (Users),{D02B1F73-3407-48ae-BA88-E8213C6761F1},Microsoft® Windows® Operating System,Administrative Templates Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:16 AM,2019-03-19 4:57:50 AM,No
Advanced Audit Policy Configuration,C:\WINDOWS\Microsoft.NET\assembly\GAC_MSIL\SecurityAuditPoliciesSnapIn\v4.0_10.0.0.0__31bf3856ad364e35\SecurityAuditPoliciesSnapIn.dll,Configures granular audit policies for Windows,,FX:{0f3f3735-573d-9804-99e4-ab2a69ba5fd4},Microsoft (R) Windows (R) Operating System,Microsoft.AuditPolicy.SnapIn,10.0.18362.1,Microsoft Corporation,2019-03-19 6:23:18 AM,2019-03-19 4:59:54 AM,No
Advanced Audit Policy Configuration,C:\WINDOWS\system32\AuditNativeSnapIn.dll,,Advanced Audit Policy Configuration,{E25E57E9-DA9C-4A35-A0D8-CFB5EA6AF7E6},Microsoft® Windows® Operating System,Audit Policy Group Policy Editor Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:19 AM,2019-03-19 4:57:31 AM,No
Application Control Policies Configuration SnapIn,C:\WINDOWS\Microsoft.NET\assembly\GAC_MSIL\SrpUxSnapIn\v4.0_10.0.0.0__31bf3856ad364e35\SrpUxSnapIn.dll,Configures AppLocker for Windows,,FX:{8A1A4AD2-7F9F-492c-9E1D-F725E3CBF2F0},Microsoft (R) Windows (R) Operating System,Microsoft.SrpUx.SnapIn,10.0.18362.1,Microsoft Corporation,2019-03-19 6:23:04 AM,2019-03-19 4:59:54 AM,No
